Job ID,Agency,Posting Type,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Posting Date
87990,DEPARTMENT OF BUSINESS SERV.,Internal,Account Manager,CONTRACT REVIEWER (OFFICE OF L,40563,1,,,42405,65485,Annual,110 William St. N Y,Strategy & Analytics,"Division of Economic & Financial Opportunity (DEFO)    Mayor Michael R. Bloomberg and SBS are committed to encouraging a competitive and diverse New York City business environment by promoting the growth and success of minority and women-owned companies.  New York Cityâ€™s Minority and Women-owned Business Enterprise (M/WBE) program is designed to help these historically underserved groups become more competitive.    JOB DESCRIPTION           The Account Manager will provide a range of supportive services to City agency purchasing personnel and private-sector prime contractors to help them comply with M/WBE utilization goals under Local Law 129.  The Account Manager will oversee a portfolio of several City agencies and will be responsible for the monitoring and oversight of the strategies which have been broadly laid out for agencies to increase M/WBE utilization.  The primary objective for the Account Manager is to help agencies increase the number and dollar value of contracts awarded to M/WBE at various contract levels.  Specifically, the Account Manager will seek to bring agencies into compliance with the Citywide utilization goals and other metrics used for measuring agency performance. Each account manager will be responsible for procurements of all sizes and methods for their respective agencies.  The Account Manager will report to the Director of Procurement Initiatives.    Account Manager Model  Each agency has very specific vendor requirements and needs, as well as obstacles to increasing M/WBE Utilization. The account managers will learn what is procured, by what method, how frequently, and how to get more M/WBEs participating in the process. The account manager will leverage their procurement contacts to work directly with program end users to identify needs and obstacles and create appropriate solutions.    The Account Managerâ€™s responsibilities will include the following:  1.	Research agency procurement practices, requirements, in order to connect M/WBE firms with future procurement opportunities   2.	Work with the agency senior staff to implement strategies to increase M/WBE participation   3.	Introduce new M/WBE firms to agency staff   4.	Assist agency staff with tools to improve performance, including monitoring prime contractor performance relating to M/WBE subcontractor utilization goals   5.	Inform agency senior staff of their performance against goals on a regular basis   6.	Assist program and procurement staff with program implementation questions as they arise   7.	Produce  analysis of agency contracts and M/WBE program performance   8.	Coordinate resources for agencies as necessary, including networking events, training sessions, etc.","1.	A baccalaureate degree from an accredited college and two years of experience in community work or community centered activities in an area related to the duties described above; or  2.	High school graduation or equivalent and six years of experience in community work or community centered activities in an area related to the duties as described above; or  3.	Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least one year of experience as described in ""1"" above.",â€¢,
97899,DEPARTMENT OF BUSINESS SERV.,Internal,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,10009,M3,,F,60740,162014,Annual,110 William St. N Y,Tech Talent Pipeline,"The New York City Department of Small Business Services (SBS) is a vibrant, client-centered agency whose mission is to serve New Yorkâ€™s small businesses, jobseekers and commercial districts.  SBS makes it easier for companies in New York City to start, operate, and expand by providing direct assistance to business owners, supporting commercial districts, promoting financial and economic opportunity among minority- and women-owned businesses, preparing New Yorkers for jobs, and linking employers with a skilled and qualified workforce.  SBS continues to reach for higher professional standards through innovative systems, new approaches to government, and a strong focus on its employees.    NYC Business Solutions is a set of services offered by the NYC Department of Small Business Services to help businesses start, operate, and expand in New York City.  All services are offered at no cost and are available to businesses of any size and at any stage.  Services can be accessed through the cityâ€™s 7 NYC Business Solutions Centers, 6 Career Centers, and 3 Sector Centers located throughout the 5 boroughs.  In 2010, NYC Business Solutions provided services to over 10,000 business customers located throughout the five boroughs.    The Executive Director of Business Development will lead agency efforts to acquire new business customers and to increase the number of NYC Business Solutions services utilized by existing customers. The Executive Director is responsible for developing the business development strategy for all NYC Business Solutions services and ensuring effective implementation through the management of internal and external sales resources. The Executive Director will provide direct supervision to 3 Senior Account Managers and will oversee 16 sales teams in the field (70 total field staff).  The Executive Director will also lead the professional development program for all staff engaging directly with business customers and is responsible for collaborating with the NYC Business Solutions marketing team to improve brand recognition throughout the five boroughs.    Specific responsibilities include:     Develop and execute the Agencyâ€™s business development strategy for all NYC Business Solutions services    Identify business targets and coordinate sales efforts across sales teams to ensure efficient usage of system-wide resources    Manage sales teams to meet their quarterly and annual sales goals through quarterly business development planning meetings and regular check-ins    Directly supervise three Senior Account Managers and oversee approximately 70 field staff located at the cityâ€™s 7 NYC Business Solutions Centers, 6 Career Centers, and 3 Sector Centers    Track and analyze system sales activities using Oracle CRM On Demand    Collaborate with NYC Business Solutions and Workforce1 program management teams to link sales activity and service delivery    Identify and create sales tools that enable sales teams to more effectively sell NYC Business Solutions services    Design and implement the professional development program for all business facing staff   Develop curriculum and lead sales training sessions for new and existing staff  Organize and lead industry knowledge sessions with sector experts to deepen sales teamsâ€™ understanding of business prospects   Lead sector focused working groups to build industry expertise and  disseminate best practices across sales teams  Increase awareness of NYC Business Solutions Services throughout the five boroughs of New York City  Assist the marketing team to develop brochures, flyers, and advertisements to promote NYC Business Solutions services and events  Participate in panel discussions and deliver public presentations at events  Establish partnerships with non-profit organizations, government agencies, and the private sector to generate referrals for NYC Business Solutions services      Preferred Skills:  The ideal candidate will have demonstrated success developing and implementing business driven programs and will have exhibited:     Strong management and leadership skills   Experience planning, implementing and managing projects involving diverse stakeholders   Extensive private or public sector experience in business development and sales  The ability to organize and drive projects to timely completion   The ability to actively listen and synthesize disparate viewpoints into a shared vision   The ability to handle complexity in fast-paced entrepreneurial environments   The ability to communicate effectively with a diverse array of internal and external stakeholders   The ability to combine attention to detail with a clear understanding of the big picture   Outstanding presentation, writing, and communications skills   Outstanding analytical, problem solving, presentation and creative thinking abilities   Excellent MS Excel, Word and Power Point skills   Experience with Oracle CRM On Demand, SalesForce, or other customer relationship management tool preferred but not required  Foreign language skills a plus","1. A baccalaureate degree from an accredited college or university and five years of full-time paid experience acquired within the last fifteen years, of supervisory or administrative experience including handling of business promotion or urban economic problems, at least 2 years of which must have been in a managerial or executive capacity with primary focus on business promotion or urban economic planning; or    2. A satisfactory equivalent combination of education and experience. However all candidates must have 2 years of managerial or executive experience as described in ""1"" above.     Appropriate graduate study in an accredited college or university may be substituted for the general experience on a year-for-year basis. All candidates must have a four-year high school diploma or its equivalent approved by a State's Department of Education or a recognized accrediting organization.",,2012-01-26T00:00:00.000
132292,NYC HOUSING AUTHORITY,External,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,90698,0,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations,Management Services Department,"Under direct supervision, assist in the routine maintenance operation and repair of public buildings, structures, and the equipment they contain; perform related work.  Responsibilities  include, but are not limited to the following:    1.  Perform minor and major repairs to boilers, burners, vacuum tank, pumps, motors and other various heating equipment citywide.  2.  Survey and report on existing conditions of heating equipment.  3.  Assist Heating Superintendent with periodic reports.  4.  Assist skill trades staff.  5.  Provide assistance during emergencies.  6.  Respond to all heating/hot water service disruptions.    Candidates selected must be available to work and travel throughout the five boroughs; and will be required to work rotating shifts, including holidays and weekends.    8:00 AM - 4:00 PM  4:00 PM - 12:00 AM  12:00 AM - 8:00 AM","1. Three years of full-time satisfactory experience as a mechanic, journey person or helper in the electrical trades, the mechanical trades, or the construction or maintenance of buildings; or  2. A satisfactory combination of education and experience that is equivalent to ""1"" above. Education may be substituted for experience on the basis that each one year of full-time training in the electrical, mechanical, or construction trades in a trade school or vocational high school approved by a Stateâ€™s Department of Education or a recognized accrediting organization, may be substituted for six months of the experience described in ""1"" above. However, all candidates must have a minimum of two years of experience as described in ""1"" above.","1.  A High School Diploma or GED.  2.  CDL Driver's License.  3.  Excellent trouble-shooting ability and mechanical aptitude.  4.  Excellent analytical and organizational skills.  5.  Ability to trouble-shoot various types of vacuum heating equipment.  6.  Knowledge of steam and pneumatic heating systems; steam and hot water generating systems; various types of heat, air and water pumps.  7.  Knowledge of Maximo work order system.",2013-10-24T00:00:00.000
132292,NYC HOUSING AUTHORITY,Internal,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,90698,0,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations,Management Services Department,"Under direct supervision, assist in the routine maintenance operation and repair of public buildings, structures, and the equipment they contain; perform related work.  Responsibilities  include, but are not limited to the following:    1.  Perform minor and major repairs to boilers, burners, vacuum tank, pumps, motors and other various heating equipment citywide.  2.  Survey and report on existing conditions of heating equipment.  3.  Assist Heating Superintendent with periodic reports.  4.  Assist skill trades staff.  5.  Provide assistance during emergencies.  6.  Respond to all heating/hot water service disruptions.    Candidates selected must be available to work and travel throughout the five boroughs; and will be required to work rotating shifts, including holidays and weekends.    8:00 AM - 4:00 PM  4:00 PM - 12:00 AM  12:00 AM - 8:00 AM","1. Three years of full-time satisfactory experience as a mechanic, journey person or helper in the electrical trades, the mechanical trades, or the construction or maintenance of buildings; or  2. A satisfactory combination of education and experience that is equivalent to ""1"" above. Education may be substituted for experience on the basis that each one year of full-time training in the electrical, mechanical, or construction trades in a trade school or vocational high school approved by a Stateâ€™s Department of Education or a recognized accrediting organization, may be substituted for six months of the experience described in ""1"" above. However, all candidates must have a minimum of two years of experience as described in ""1"" above.","1.  A High School Diploma or GED.  2.  CDL Driver's License.  3.  Excellent trouble-shooting ability and mechanical aptitude.  4.  Excellent analytical and organizational skills.  5.  Ability to trouble-shoot various types of vacuum heating equipment.  6.  Knowledge of steam and pneumatic heating systems; steam and hot water generating systems; various types of heat, air and water pumps.  7.  Knowledge of Maximo work order system.",2013-10-24T00:00:00.000
133921,NYC HOUSING AUTHORITY,Internal,Temporary Painter,PAINTER,91830,0,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning,"Responsibilities of selected candidates will include, but are not limited to the following:    1.  Prepare, fill and prime surfaces for painting.  2.   Mix paint components and match colors.  3.  Apply paint with a brush, roller or spray gun.  4.  Apply plaster to surfaces.  5.  Work on and from ladders, platforms and scaffolds  6.  Rig lines and scaffolds.",1. Five years of full-time satisfactory experience as a painter acquired within the last fifteen years, or  2. At least three years of full-time satisfactory experience as a painter acquired within the last fifteen years and sufficient full-time satisfactory apprentice painter experience to make up a total of five years of acceptable experience. Six months of acceptable experience will be credited for each year of apprentice painter experience.,NYCHA has no residency requirement.
133921,NYC HOUSING AUTHORITY,External,Temporary Painter,PAINTER,91830,0,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning,"Responsibilities of selected candidates will include, but are not limited to the following:    1.  Prepare, fill and prime surfaces for painting.  2.   Mix paint components and match colors.  3.  Apply paint with a brush, roller or spray gun.  4.  Apply plaster to surfaces.  5.  Work on and from ladders, platforms and scaffolds  6.  Rig lines and scaffolds.",1. Five years of full-time satisfactory experience as a painter acquired within the last fifteen years, or  2. At least three years of full-time satisfactory experience as a painter acquired within the last fifteen years and sufficient full-time satisfactory apprentice painter experience to make up a total of five years of acceptable experience. Six months of acceptable experience will be credited for each year of apprentice painter experience.,NYCHA has no residency requirement.
137433,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Contract Analyst,PROCUREMENT ANALYST,12158,3,"Finance, Accounting, & Procurement",F,50598,85053,Annual,42-09 28th Street,HIV/AIDS Administration,"** OPEN TO PERMANENT PROCUREMENT ANALYSTS ONLY. YOU MUST CLEARLY STATE YOUR CIVIL SERVICE STATUS ON YOUR COVER LETTER.  ALL OTHER CANDIDATES WILL NOT BE CONSIDERED.      The mission of the Bureau of HIV/ AIDS Prevention and Control (the Bureau) is to prevent new infections and reduce morbidity and mortality among HIV-infected persons. The goals of the Administration Unit of the Bureau is to provide the necessary administrative support and coordination in the areas of contract administration; procurement; human resources management; fiscal administration; and contracts management to enable the program areas (HIV Prevention, HIV Care & Treatment, HIV Testing, Housing, and HIV Epidemiology and Field Services Unit) to function effectively and efficiently in achieving their respective missions.    DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:    --Development and management of complex contracts and purchases for City, State, and/or Federal grants.    -- Manage the lifecycle of a grant budget(s), including, but not limited to, development of grant application budget and associated documents for submission to funders; expenditure tracking; final financial reporting.    -- Manage tracking systems for Personnel Services (PS) and Other Than Personnel Services (OTPS), Prepare statistical and narrative reports on a regular basis.    -- Review and reconcile budget reports from the DOHMHâ€™s multiple fiscal systems and proprietary tracking systems.    -- Analyze complex financial reports and fiscal data., Participate in planning, design and implementation of computer systems to track all aspects of grant budgets.    -- Act as liaison to other DOHMH offices in order to effectively execute budget activities, including: budget, claiming, internal accounting, grants.    -- Conduct ad-hoc reports or analysis as requested by the Assistant Director for Fiscal Administration and/or the Director of Administration.","1. A baccalaureate degree from an accredited college and six months of satisfactory full-time professional experience in procurement of goods, services, construction or construction-related services, or professional, technical or administrative experience in contract negotiation/management; or  2. An associate degree or completion of 60 semester credits from an accredited college, and 18 months of satisfactory, full-time professional experience as described in â€œ1â€ above; or  3. A four-year high school diploma or its educational equivalent and two and one-half years of satisfactory full time professional experience as described in â€œ1â€ above; or  4. A combination of education and/or experience equivalent to â€œ1â€, â€œ2â€, or â€œ3â€ above. College education may be substituted for professional experience under â€œ2â€ or â€œ3â€ above at the rate of 30 semester credits from an accredited college for 6 months of experience. However, all candidates must have at least a four year high school diploma or its educational equivalent and 6 months of the experience described in â€œ1â€ above.  SPECIAL NOTES:  To be eligible for placement in Assignment Level II, individuals must have, after meeting the minimum requirements, either one year served at Assignment Level I or one additional year of the experience described in ""1"" above.  To be eligible for placement in Assignment Level III, individuals must have, after meeting the minimum requirements, either one year served at Assignment Level II or two additional years of the experience described in ""1"" above, at least one year of which must have been supervisory, or spent performing professional procurement duties equivalent to those performed at Assignment Level III.","Strong analytical background;  advanced proficiency in Microsoft Excel and Word; experience in procurement, budget and grant management;  understanding of contract management;   Strong organizational and administrative skills; and   excellent oral, inter-personal and written communication  skills.",2013-12-09T00:00:00.000
138531,DEPT OF ENVIRONMENT PROTECTION,Internal,Associate Chemist,ASSOCIATE CHEMIST,21822,2,"Health Public Safety, Inspections, & Enforcement",F,50623,75083,Annual,96-05 Horace Harding Expway,DWOC Labs-Lefrak,"Working in the Distribution Water Quality Operations Division, Organic Section, Queens, New York, the Associate Chemist II will report to the Organic Lab Section Supervisor and will perform and oversee complex testing of drinking water samples for trace organic contaminants by one or more gas chromatographic methods. This person will be responsible for maintaining the capability of the organic section to perform testing by their assigned methods, including: training analysts, maintaining stocks of equipment and supplies, diagnosing instrument problems and performing routine maintenance on gas chromatographs. The Associate Chemist will also draft or review analytical reports, Standard Operating Procedures (SOPs), and final reports to external agencies for his/her assigned methods. They shall participate in analysis of proficiency samples from NYS Department of Health Environmental Laboratory Approval Program (ELAP) and other Proficiency Test (PT) suppliers.","Qualification Requirements  A baccalaureate degree from an accredited college, including or supplemented by 16 semester credits in chemistry and 8 semester credits in any one or a combination of the following areas: chemistry, pharmacology, toxicology, environmental science, forensic science, or other natural science.    Certificate Requirement  At the time of appointment to a clinical laboratory, candidates must possess a valid License as a Clinical Laboratory Technologist issued by the New York State Education Department. This license must be maintained for the duration of employment.  Additional Qualification Requirements For Assignment Level II and above.    To be eligible for placement in Assignment Level II and above, individuals must have, after meeting the minimum requirements described for Assignment Level I, at least two years of fulltime satisfactory experience performing chemical or physical analyses in a laboratory.     Education may be substituted for experience  on the basis of 30 graduate semester credits from an accredited college in any of the areas of study described in the qualification requirements above for one year of experience. However, all candidates must have a baccalaureate degree from an accredited college with the specialized credits as described above.","In order to apply for this position, the candidate must be a permanent Associate Chemist or on an Associate Chemist Civil Service List.    Experience in testing drinking water samples for trace organic contaminants by EPA-approved gas chromatographic methods is preferred: experience in testing environmental water samples for trace organic contaminants by gas chromatographic methods is also acceptable. Strong writing and communication skills are desirable as well as familiarity with computer programs, including Excel and Word.",2013-12-20T00:00:00.000
151131,NYC HOUSING AUTHORITY,External,Cost Estimating Manager,ADMINISTRATIVE STAFF ANALYST (,1002D,0,"Engineering, Architecture, & Planning",F,90000,110000,Annual,CP Cap Plan-Technical Planning,Capital Planning Dept,"Reporting to the Deputy Director of Technical Planning, with latitude for independent judgment, the Cost Estimating Manager is responsible for oversight and management of the day-to-day operations of the Cost Estimating Section of Capital Planning.  Responsibilities include, but are not limited to the following:    1.  Supervise cost estimating staff.  2.  Plan, assign and review work of subordinates.   3.  Oversee the preparation of various levels of cost estimates for the planning, design, construction, remodeling or repair of buildings, mechanical systems or various installations.  4.  Monitor quantity takeoffs and cost evaluations in relation to contract drawings, specifications or contract changes.  5.  Engage in and monitor complex research; conduct studies and investigations related to estimating functions.  6.  Ensure price library meets with current cost variations.  7.  Review contract estimates prepared by professional consultants and make recommendations for acceptance, rejection or modification.  8.  Evaluate staff performance and take corrective action if necessary.    NOTE:    Employees serving in the title of or who meet the qualification requirements for Administrative  Project Manager will be considered.","1. A master's degree from an accredited college in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, urban studies or a closely related field, and two years of satisfactory full-time professional experience in one or a combination of the following: working with the budget of a large public or private concern in budget administration, accounting, economic or financial administration, or fiscal or economic research; in management or methods analysis, operations research, organizational research or program evaluation; in personnel or public administration, recruitment, position classification, personnel relations, employee benefits, staff development, employment program planning/administration, labor market research, economic planning, social services program planning/evaluation, or fiscal management; or in a related area. 18 months of this experience must have been in an executive, managerial, administrative or supervisory capacity. Supervision must have included supervising staff performing professional work in the areas described above; or    2. A baccalaureate degree from an accredited college and four years of professional experience in the areas described in ""1"" above, including the 18 months of executive, managerial, administrative or supervisory experience, as described in ""1"" above.",1.  Five years of managerial and supervisory experience.  2.  Excellent verbal and written communication skills.   3.  Ability to work collaboratively with others.  4.  Ability to perform detailed work under time-sensitive deadlines.,2014-06-25T00:00:00.000
151650,NYC HOUSING AUTHORITY,Internal,PLUMBER'S HELPER,PLUMBER'S HELPER,91916,0,Legal Maintenance & Operations,F,61387.2,61387.2,Annual,Brooklyn Floating Staff,Brooklyn Property Management,"Under the direction of a Plumber, assist with emergencies of routine and scheduled plumbing repairs of residence and public space.  Duties will include, but are not limited to the following:    1.  Prepare for PHAS and corrects PHAS deficiencies.  2.  Assist Plumber with the following related tasks:  perform work relating to installation, alteration, maintenance and repair of piping of gas, potable water, plumbing, heating and drainage system;  install, maintain, and repair piping for water, gas, storm, waste, soil and vent systems;  set, maintain, and repair plumbing equipment and accessories.  3.  Carry tools, working materials and equipment and prepares the work location.  Move heavy valves, piping and fixtures.  4.  Cut, drill or other wise prepare openings as may be necessary for the installation, maintenance or repair of plumbing pipes and fixtures.  5.  Clean work area.    NOTE:  Assignments will be made throughout the five boroughs.","1. Three years of full-time satisfactory experience as a plumber's helper or apprentice plumber acquired within the last 12 years; or   2. Not less than one year of experience as described in ""1"" above plus sufficient training of a relevant nature acquired in an approved trade school, technical school or vocational high school to make up the equivalent of three years of acceptable experience. The apprenticeship must be recognized by the New York State Department of Labor, the U.S. Department of Labor or any apprenticeship council which is recognized by the U.S. Department of Labor. The schooling must be approved by a state's Department of Education or comparable agency. Six months of acceptable experience will be credited for each year of approved trade school, technical school or vocational high school.",,2014-08-22T00:00:00.000
